Saida Sigla,Saida Nome Aeroporto,Chegada,Chegada Nome Aeroporto,Distancia (Km),Airline,ModelosAvioes
SGN,Tan Son Nhat International Airport,DXB,Dubai International Airport,5625,Emirates,77W-B77W
SGN,Tan Son Nhat International Airport,SFO,San Francisco International Airport,12613,Vietnam Airlines,359-A359
SGN,Tan Son Nhat International Airport,IST,Istanbul Airport,8220,Turkish Airlines,359-333-A359
SGN,Tan Son Nhat International Airport,BKK,Bangkok Suvarnabhumi Airport,717,Bamboo Airways - VietJet Air - Vietnam Airlines - Vietravel Airlines - Thai VietJet Air - Thai Smile,32S-A40-320-321-A320-A321-A20N-A21N
SGN,Tan Son Nhat International Airport,SIN,Singapore Changi Airport,1094,Asiana Airlines-Bamboo Airlines-Singapore Airlines-Scoot-VietJet Air-Vietnam Airlines-Pacific Airlines,74F-B74F-32Q-32N-320-321-A20N-A21N-A320-A321-359-A359
SGN,Tan Son Nhat International Airport,DOH,Hamad International Airport,6001,Qatar Airways,77W-77X-B77L-B77W-359-A359
SGN,Tan Son Nhat International Airport,MNL,Ninoy Aquino International Airport,1613,Cebu Pacific-Philippine Airlines,32Q-A21N-A321-320-A320-321
SGN,Tan Son Nhat International Airport,HND,Tokyo Haneda Airport,4329,Jet Linx Aviation-All Nippon Airways-VietJet Air,788-789-B788-B789-321-A21N
SGN,Tan Son Nhat International Airport,CGK,Soekarno–Hatta International Airport,1886,VietJet Air-Vietnam Airlines,320-321-A320-A321
SGN,Tan Son Nhat International Airport,DEL,Indira Gandhi International Airport,3655,VietJet Air - Vietnam Airlines,330-321-A333-A21N-A321
SGN,Tan Son Nhat International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,3741,VietJet Air-Vietnam Airlines,330-321-A333-A21N
SGN,Tan Son Nhat International Airport,FRA,Frankfurt Airport,9668,Bamboo Airways-Vietnam Airlines,787-B789
SGN,Tan Son Nhat International Airport,CDG,Charles de Gaulle Airport,10116,Vietnam Airlines-Air France,359-A359-772-B772
SGN,Tan Son Nhat International Airport,SYD,Sydney Airport,6854,Jetstar-Bamboo Airways-VietJet Air-Vietnam Airlines,330-A333-359-A359-787-788-B788-B789
SGN,Tan Son Nhat International Airport,LHR,Heathrow Airport,10231,Vietnam Airlines,787-B789
